fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.094,other,18.9,0.13,1.38,0.1,0.29,89,actual,547,actual,0.75,2,1,2,1,2,0,1,328593,5275,306165,2911079,359,12492,5506,299,0.51,850,636,89,0.633136094675,1717,3171845,1479199,1261681,2021-07-24,https://covidactnow.org/us/kansas-ks,0.508,0.433,1,2569533
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.077,other,15.4,0.36,1.44,0.1,0.1,78,actual,1046,actual,0.61,3,1,2,1,3,0,0,474851,7355,506474,4295313,1240,19775,8943,315,0.59,1838,1124,78,0.66,992,4609955,2283310,2013778,2021-07-24,https://covidactnow.org/us/kentucky-ky,0.511,0.451,4,4131634
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.13,other,41.3,0.08,1.39,0.1,0.2,147,actual,1068,actual,0.67,3,2,3,2,2,0,0,512843,10900,549111,6512904,800,20906,9696,559,0.55,1811,1215,147,0.668632075472,3127,4204480,1881376,1693355,2021-07-24,https://covidactnow.org/us/louisiana-la,0.405,0.364,11,3533095
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.015,other,6.0,1.13,1.54,0.1,0.07,32,actual,920,actual,0.69,3,0,1,0,3,0,0,715180,18046,796974,23242210,2350,24379,16335,124,0.72,1370,952,32,0.5,624,9944920,4960869,4371061,2021-07-24,https://covidactnow.org/us/massachusetts-ma,0.72,0.634,5,9060906
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.024,other,3.5,1.32,1.34,0.12,0.08,34,actual,840,actual,0.69,2,0,1,0,2,0,0,465545,9801,954527,10916601,1400,14456,9482,245,0.72,1265,874,34,0.66,288,8700790,3860327,3519640,2021-07-24,https://covidactnow.org/us/maryland-md,0.639,0.582,3,7120823
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.019,other,4.4,0.29,1.39,0.26,0.14,15,actual,222,actual,0.72,2,0,1,1,2,0,1,69834,891,63255,2360305,86,3847,2426,51,0.63,327,237,15,0.7246753246750001,54,1899480,910974,848087,2021-07-24,https://covidactnow.org/us/maine-me,0.678,0.631,0,1652425
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.03,other,4.1,0.48,1.34,0.1,0.09,62,actual,1823,actual,0.75,2,0,1,1,2,0,1,1004906,21131,1093747,13617376,1000,27031,18388,304,0.61,2523,1885,62,0.776520051746,1642,11881010,5256203,4844049,2021-07-24,https://covidactnow.org/us/michigan-mi,0.526,0.485,21,9715213
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.027,other,4.7,0.77,1.36,0.1,0.07,20,actual,634,actual,0.72,2,0,1,1,2,0,1,609480,7743,900782,12109206,1028,17693,8044,152,0.6,911,654,20,0.532017075774,371,6663510,3283071,3008986,2021-07-24,https://covidactnow.org/us/minnesota-mn,0.582,0.534,2,6022687
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.138,other,37.1,0.01,1.24,0.1,0.64,452,actual,1151,actual,0.86,3,2,3,2,2,2,3,675068,10193,702018,5917811,94,26185,14300,1466,0.62,1857,1603,452,0.689096797409,3036,6405275,2908494,2491019,2021-07-24,https://covidactnow.org/us/missouri-mo,0.474,0.406,14,5347318
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,0.015,other,0.0,,,,,,,,,,0,0,0,4,4,4,4,183,2,478,42510,10,,,,,,,,,0,76830,31726,28866,2021-07-24,https://covidactnow.org/us/northern_mariana_islands-mp,0.592,0.538,0,60048
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.137,other,30.6,0.04,1.46,0.1,0.32,100,actual,529,actual,0.75,3,2,3,2,3,0,1,333180,7502,163216,1319643,200,14398,5857,401,0.51,844,629,100,0.807865168539,1317,2757695,1138784,1012632,2021-07-24,https://covidactnow.org/us/mississippi-ms,0.383,0.34,8,2092502
